"Year","Distance","BLOCK","avg.index"
2004,"other",1629,274.355226593489
2004,"other",1748,274.355226593489
2004,"other",1749,274.355226593489
2004,"other",1750,274.355226593489
2004,"other",1751,274.355226593489
2004,"other",1752,274.355226593489
2004,"other",1753,274.355226593489
2004,"other",1795,274.355226593489
2004,"other",1904,274.355226593489
2004,"other",1790,274.355226593489
2004,"other",1791,274.355226593489
2004,"other",1815,274.355226593489
2004,"other",1630,274.355226593489
2004,"other",1807,274.355226593489
2005,"1 block",1429,137.247426634862
2005,"1 block",1426,137.247426634862
2005,"1 block",1646,137.247426634862
2005,"1 block",1433,137.247426634862
2005,"1 block",1427,137.247426634862
2005,"1 block",1432,137.247426634862
2005,"1 block",1423,137.247426634862
2005,"1 block",1424,137.247426634862
2005,"1 block",1425,137.247426634862
2005,"1 block",1525,137.247426634862
2005,"1 block",1428,137.247426634862
2005,"1 block",1527,137.247426634862
2005,"1 block",1430,137.247426634862
2005,"1 block",1431,137.247426634862
2005,"1 block",1530,137.247426634862
2005,"1 block",1547,137.247426634862
2005,"1 block",1548,137.247426634862
2005,"1 block",1549,137.247426634862
2005,"1 block",1550,137.247426634862
2005,"1 block",1551,137.247426634862
2005,"1 block",1552,137.247426634862
2005,"1 block",1553,137.247426634862
2005,"1 block",1554,137.247426634862
2005,"1 block",1526,137.247426634862
2005,"1 block",1443,137.247426634862
2005,"1 block",1528,137.247426634862
2005,"1 block",1529,137.247426634862
2005,"1 block",1546,137.247426634862
2005,"1 block",1445,137.247426634862
2005,"1 block",1531,137.247426634862
2005,"1 block",1532,137.247426634862
2005,"1 block",1533,137.247426634862
2005,"1 block",1534,137.247426634862
2005,"1 block",1535,137.247426634862
2005,"1 block",1536,137.247426634862
2005,"1 block",1537,137.247426634862
2005,"1 block",1539,137.247426634862
2005,"1 block",1540,137.247426634862
2005,"1 block",1542,137.247426634862
2005,"1 block",1543,137.247426634862
2005,"1 block",1444,137.247426634862
2005,"1 block",1544,137.247426634862
2005,"1 block",1446,137.247426634862
2005,"1 block",1447,137.247426634862
2005,"1 block",1448,137.247426634862
2005,"1 block",1449,137.247426634862
2005,"1 block",1450,137.247426634862
2005,"1 block",1451,137.247426634862
2005,"1 block",1452,137.247426634862
2005,"1 block",1453,137.247426634862
2005,"1 block",1555,137.247426634862
2005,"1 block",1556,137.247426634862
2005,"1 block",1557,137.247426634862
2005,"1 block",1558,137.247426634862
2005,"1 block",1545,137.247426634862
2005,"2-3 blocks left",1404,171.100487240236
2005,"2-3 blocks left",1410,171.100487240236
2005,"2-3 blocks left",1411,171.100487240236
2005,"2-3 blocks left",1409,171.100487240236
2005,"2-3 blocks left",1517,171.100487240236
2005,"2-3 blocks left",1405,171.100487240236
2005,"2-3 blocks left",1406,171.100487240236
2005,"2-3 blocks left",1413,171.100487240236
2005,"2-3 blocks left",1522,171.100487240236
2005,"2-3 blocks left",1523,171.100487240236
2005,"2-3 blocks left",1524,171.100487240236
2005,"2-3 blocks left",1408,171.100487240236
2005,"2-3 blocks left",1412,171.100487240236
