"Year","Block","Total","index","Distance","avg.index"
2002,1557,4,-0.666666666666667,"1 block",0.222498386314012
2002,1558,33,0.833333333333333,"1 block",0.222498386314012
2002,1559,7,-0.416666666666667,"2 blocks right",0.111528399787671
2002,1560,21,0.235294117647059,"2 blocks right",0.111528399787671
2002,1561,11,-0.476190476190476,"2 blocks right",0.111528399787671
2002,1562,36,2,"2 blocks right",0.111528399787671
2002,1563,7,-0.416666666666667,"2 blocks right",0.111528399787671
2002,1564,16,-0.238095238095238,"2 blocks right",0.111528399787671
2002,1565,15,-0.347826086956522,"2 blocks right",0.111528399787671
2002,1566,22,0.222222222222222,"2 blocks right",0.111528399787671
2002,1567,11,-0.388888888888889,"2 blocks right",0.111528399787671
2002,1568,9,0.285714285714286,"2 blocks right",0.111528399787671
2002,1569,21,-0.125,"2 blocks right",0.111528399787671
2002,1571,2,-0.909090909090909,"2 blocks right",0.111528399787671
2002,1573,14,1.8,"2 blocks right",0.111528399787671
2002,1576,18,-0.217391304347826,"3-4 blocks right",0.091752773180572
2002,1577,31,0.347826086956522,"3-4 blocks right",0.091752773180572
2002,1578,24,0.263157894736842,"3-4 blocks right",0.091752773180572
2002,1579,6,-0.714285714285714,"3-4 blocks right",0.091752773180572
2002,1580,31,0.476190476190476,"3-4 blocks right",0.091752773180572
2002,1581,7,-0.125,"3-4 blocks right",0.091752773180572
2002,1582,28,-0.176470588235294,"3-4 blocks right",0.091752773180572
2002,1583,31,0.291666666666667,"3-4 blocks right",0.091752773180572
2002,1584,18,0.636363636363636,"3-4 blocks right",0.091752773180572
2002,1585,22,0.222222222222222,"3-4 blocks right",0.091752773180572
2002,1586,30,0.5,"3-4 blocks right",0.091752773180572
2002,1587,2,-0.666666666666667,"3-4 blocks right",0.091752773180572
2002,1589,27,0.6875,"3-4 blocks right",0.091752773180572
2002,1590,38,0.310344827586207,"3-4 blocks right",0.091752773180572
2002,1602,40,0.142857142857143,"4-5 blocks left",0.070687751877067
2002,1603,30,0.304347826086957,"other",0.552239650630474
2002,1604,25,0,"other",0.552239650630474
2002,1605,12,-0.368421052631579,"other",0.552239650630474
2002,1607,1,0,"other",0.552239650630474
2002,1608,14,0.0769230769230769,"other",0.552239650630474
2002,1609,1,-0.666666666666667,"other",0.552239650630474
2002,1610,16,-0.2,"other",0.552239650630474
2002,1611,7,-0.416666666666667,"other",0.552239650630474
2002,1612,2,-0.75,"other",0.552239650630474
2002,1613,9,0.285714285714286,"other",0.552239650630474
